data,event-type,id,key,name,probable-cause,severity,task,text,container,host,level,neid,process,service,system,time,timezone,type,userid
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T02:35:40.314961Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T02:25:40.306175Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T02:15:40.303215Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T02:05:40.295332Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T01:55:40.292886Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T01:45:40.210795Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T01:35:40.207387Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T01:25:40.151421Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T01:15:40.149024Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T01:05:40.120411Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T00:55:40.113783Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T00:45:40.107706Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T00:35:40.100615Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T00:25:40.026244Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T00:15:40.021469Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T00:05:40.018173Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-02T23:55:40.015034Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-02T23:45:40.006204Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-02T23:35:40.003376Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-02T23:25:40.000808Z,CET,alarm,
